lad19cd,age0,value
E06000001,0,1006
E06000053,0,17
E06000053,1,18
E06000053,2,17
E06000053,3,8
E06000053,4,32
E06000053,5,21
E06000053,6,24
E06000053,7,17
E06000053,8,23
E06000053,9,29
E06000053,10,21
E06000053,11,27
E06000053,12,18
E06000053,13,14
E06000053,14,16
E06000053,15,16
E06000053,16,11
E06000053,17,8
E06000053,18,16
E06000053,19,18
E06000053,20,28
E06000053,21,1
E06000053,22,26
E06000053,23,42
E06000053,24,24
E06000053,25,26
E06000053,26,37
E06000053,27,43
E06000053,28,8
E06000053,29,16
E06000053,30,30
E06000053,31,38
E06000053,32,18
E06000053,33,36
E06000053,34,2
E06000053,35,28
E06000053,36,31
E06000053,37,35
E06000053,38,15
E06000053,39,34
E06000053,40,34
E06000053,41,23
E06000053,42,18
E06000053,43,31
E06000053,44,23
E06000053,45,29
E06000053,46,21
E06000053,47,38
E06000053,48,25
E06000053,49,28
E06000053,50,31
E06000053,51,38
E06000053,52,27
E06000053,53,38
E06000053,54,31
E06000053,55,43
E06000053,56,36
E06000053,57,26
E06000053,58,29
E06000053,59,26
E06000053,60,40
E06000053,61,28
E06000053,62,34
E06000053,63,22
E06000053,64,36
E06000053,65,24
E06000053,66,33
E06000053,67,21
E06000053,68,36
E06000053,69,24
E06000053,70,29
E06000053,71,34
E06000053,72,34
E06000053,73,36
E06000053,74,32
E06000053,75,34
E06000053,76,21
E06000053,77,18
E06000053,78,15
E06000053,79,22
E06000053,80,23
E06000053,81,11
E06000053,82,18
E06000053,83,15
E06000053,84,12
E06000053,85,12
E06000053,86,7
E06000053,87,6
E06000053,88,13
E06000053,89,4
E06000053,90,46
E09000001,0,75
E09000001,1,86
E09000001,2,93
E09000001,3,85
E09000001,4,123
E09000001,5,114
E09000001,6,101
E09000001,7,125
E09000001,8,117
E09000001,9,87
E09000001,10,94
E09000001,11,84
E09000001,12,86
E09000001,13,68
E09000001,14,85
E09000001,15,71
E09000001,16,60
E09000001,17,67
E09000001,18,80
E09000001,19,69
E09000001,20,127
E09000001,21,148
E09000001,22,170
E09000001,23,185
E09000001,24,259
E09000001,25,222
E09000001,26,254
E09000001,27,235
E09000001,28,227
E09000001,29,125
E09000001,30,146
E09000001,31,149
E09000001,32,120
E09000001,33,156
E09000001,34,105
E09000001,35,116
E09000001,36,119
E09000001,37,164
E09000001,38,130
E09000001,39,104
E09000001,40,120
E09000001,41,91
E09000001,42,112
E09000001,43,68
E09000001,44,140
E09000001,45,134
E09000001,46,111
E09000001,47,139
E09000001,48,112
E09000001,49,148
E09000001,50,137
E09000001,51,180
E09000001,52,132
E09000001,53,147
E09000001,54,114
E09000001,55,144
E09000001,56,128
E09000001,57,128
E09000001,58,117
E09000001,59,112
E09000001,60,104
E09000001,61,125
E09000001,62,90
E09000001,63,94
E09000001,64,121
E09000001,65,97
E09000001,66,103
E09000001,67,86
E09000001,68,94
E09000001,69,111
E09000001,70,90
E09000001,71,112
E09000001,72,99
E09000001,73,65
E09000001,74,73
E09000001,75,51
E09000001,76,65
E09000001,77,55
E09000001,78,53
E09000001,79,57
E09000001,80,55
E09000001,81,49
E09000001,82,42
E09000001,83,24
E09000001,84,38
E09000001,85,15
E09000001,86,34
E09000001,87,16
E09000001,88,25
E09000001,89,15
E09000001,90,118
S12000023,0,186
S12000023,1,188
S12000023,2,210
S12000023,3,187
S12000023,4,215
S12000023,5,203
S12000023,6,221
S12000023,7,226
S12000023,8,254
S12000023,9,230
S12000023,10,244
S12000023,11,253
S12000023,12,260
S12000023,13,247
S12000023,14,245
S12000023,15,213
S12000023,16,220
S12000023,17,222
S12000023,18,202
S12000023,19,167
S12000023,20,200
S12000023,21,179
S12000023,22,216
S12000023,23,206
S12000023,24,235
S12000023,25,221
