lad19cd,lad19nm,bng_e,bng_n,Male,Female
E06000001,Hartlepool,"447,160","531,474","45,833","47,830"
E06000002,Middlesbrough,"451,141","516,887","69,719","71,261"
E06000003,Redcar and Cleveland,"464,361","519,597","66,579","70,571"
E06000004,Stockton-on-Tees,"444,940","518,183","97,593","99,755"
E06000005,Darlington,"428,029","515,648","52,065","54,738"
E06000006,Halton,"354,246","382,146","63,082","66,328"
E06000007,Warrington,"362,744","388,456","104,362","105,652"
E06000008,Blackburn with Darwen,"369,490","422,806","75,080","74,616"
E06000009,Blackpool,"332,819","436,635","69,128","70,318"
E06000010,"Kingston upon Hull, City of","511,894","431,650","131,062","128,716"
E06000011,East Riding of Yorkshire,"488,056","443,597","167,258","173,915"
E06000012,North East Lincolnshire,"523,465","404,564","78,256","81,307"
E06000013,North Lincolnshire,"497,800","410,993","85,242","87,050"
E06000014,York,"460,864","452,589","103,212","107,406"
E06000015,Derby,"435,609","335,375","127,581","129,721"
E06000016,Leicester,"458,946","304,594","177,763","176,461"
E06000017,Rutland,"492,992","308,655","20,340","19,587"
E06000018,Nottingham,"456,082","339,969","169,010","163,890"
E06000019,"Herefordshire, County of","349,434","242,834","95,486","97,315"
E06000020,Telford and Wrekin,"367,035","313,057","89,255","90,599"
E06000021,Stoke-on-Trent,"389,438","346,652","129,105","127,270"
E06000022,Bath and North East Somerset,"366,217","161,999","95,814","97,468"
E06000023,"Bristol, City of","359,990","174,846","232,171","231,206"
E06000024,North Somerset,"347,613","166,719","104,601","110,451"
E06000025,South Gloucestershire,"367,559","183,198","141,234","143,859"
E06000026,Plymouth,"249,945","58,255","130,306","131,794"
E06000027,Torbay,"289,730","64,613","66,421","69,843"
E06000030,Swindon,"418,551","186,564","111,047","111,146"
E06000031,Peterborough,"517,372","300,777","101,608","100,651"
E06000032,Luton,"508,606","222,559","108,305","104,747"
E06000033,Southend-on-Sea,"587,777","186,837","89,829","93,296"
E06000034,Thurrock,"562,123","181,590","86,040","88,301"
E06000035,Medway,"578,207","175,198","138,052","140,504"
E06000036,Bracknell Forest,"488,169","168,792","60,841","61,708"
E06000037,West Berkshire,"450,575","172,095","78,432","80,018"
E06000038,Reading,"470,226","173,154","81,866","79,914"
E06000039,Slough,"498,920","179,246","75,632","73,907"
E06000040,Windsor and Maidenhead,"492,079","176,541","75,218","76,204"
E06000041,Wokingham,"476,624","169,902","84,318","86,801"
E06000042,Milton Keynes,"486,408","242,308","133,422","136,035"
E06000043,Brighton and Hove,"530,279","106,850","146,153","144,732"
E06000044,Portsmouth,"465,619","101,352","109,599","105,306"
E06000045,Southampton,"442,303","113,700","129,141","123,379"
E06000046,Isle of Wight,"447,183","85,949","69,471","72,300"
E06000047,County Durham,"410,381","532,242","260,881","269,213"
E06000049,Cheshire East,"380,510","363,462","188,096","196,056"
E06000050,Cheshire West and Chester,"353,097","363,145","167,268","175,803"
E06000051,Shropshire,"350,227","302,960","160,155","162,981"
E06000052,Cornwall,"212,497","64,493","276,731","292,847"
E06000053,Isles of Scilly,"91,327","11,447","1,089","1,135"
E06000054,Wiltshire,"405,209","158,863","246,656","253,368"
E06000055,Bedford,"505,721","256,463","85,221","88,071"
E06000056,Central Bedfordshire,"504,615","234,492","142,503","146,145"
E06000057,Northumberland,"395,322","600,699","157,462","164,972"
E06000058,"Bournemouth, Christchurch and Poole","410,815","94,066","196,612","198,719"
E06000059,Dorset,"370,871","99,796","185,388","193,120"
E07000008,Cambridge,"545,420","257,901","64,265","60,533"
E07000009,East Cambridgeshire,"555,576","275,765","44,107","45,733"
E07000010,Fenland,"536,361","294,959","50,474","51,376"
E07000011,Huntingdonshire,"521,008","274,269","88,872","89,091"
E07000012,South Cambridgeshire,"543,295","247,586","78,806","80,280"
E07000026,Allerdale,"317,520","532,997","48,218","49,543"
E07000027,Barrow-in-Furness,"321,741","474,165","33,179","33,870"
E07000028,Carlisle,"348,576","565,154","53,017","55,661"
E07000029,Copeland,"310,871","508,739","34,036","34,147"
E07000030,Eden,"359,636","526,396","26,409","26,844"
E07000031,South Lakeland,"349,265","489,555","51,597","53,491"
E07000032,Amber Valley,"436,166","348,084","62,887","65,260"
E07000033,Bolsover,"448,666","371,548","39,786","40,776"
E07000034,Chesterfield,"440,049","373,359","51,484","53,416"
E07000035,Derbyshire Dales,"419,697","358,493","35,638","36,687"
E07000036,Erewash,"443,721","338,063","56,460","58,911"
E07000037,High Peak,"410,474","387,660","45,633","47,033"
E07000038,North East Derbyshire,"437,369","362,955","49,547","51,915"
E07000039,South Derbyshire,"431,443","325,363","52,865","54,396"
E07000040,East Devon,"313,790","96,050","70,641","75,643"
E07000041,Exeter,"293,239","92,005","65,640","65,765"
E07000042,Mid Devon,"288,064","108,911","40,195","42,116"
E07000043,North Devon,"265,110","132,532","47,742","49,403"
E07000044,South Hams,"270,676","54,036","42,061","44,943"
E07000045,Teignbridge,"283,144","80,205","64,940","69,223"
E07000046,Torridge,"244,206","114,334","33,389","34,878"
E07000047,West Devon,"256,376","86,999","27,316","28,480"
E07000061,Eastbourne,"559,339","99,575","50,302","53,443"
E07000062,Hastings,"581,528","110,694","45,379","47,282"
E07000063,Lewes,"541,474","105,686","50,172","53,096"
E07000064,Rother,"578,721","119,666","46,278","49,802"
E07000065,Wealden,"555,048","117,180","77,926","83,549"
E07000066,Basildon,"571,548","190,848","90,857","96,342"
E07000067,Braintree,"577,253","227,335","74,822","77,782"
E07000068,Brentwood,"558,560","196,070","37,463","39,558"
E07000069,Castle Point,"579,490","187,920","43,936","46,440"
E07000070,Chelmsford,"572,116","206,972","88,070","90,318"
E07000071,Colchester,"596,944","223,693","97,008","97,698"
E07000072,Epping Forest,"548,919","203,758","63,650","68,039"
E07000073,Harlow,"545,276","209,589","42,324","44,743"
E07000074,Maldon,"591,413","212,072","31,929","32,997"
E07000075,Rochford,"585,979","191,417","42,855","44,513"
E07000076,Tendring,"614,190","222,141","70,593","75,968"
E07000077,Uttlesford,"557,832","228,865","44,843","46,441"
E07000078,Cheltenham,"394,925","222,232","57,323","58,983"
E07000079,Cotswold,"402,125","208,209","43,430","46,432"
E07000080,Forest of Dean,"367,175","212,759","42,612","44,179"
E07000081,Gloucester,"384,071","216,449","63,819","65,309"
E07000082,Stroud,"378,807","202,410","58,973","60,991"
E07000083,Tewkesbury,"386,347","226,279","46,415","48,604"
E07000084,Basingstoke and Deane,"454,508","151,423","87,243","89,339"
E07000085,East Hampshire,"474,404","129,237","59,032","63,276"
E07000086,Eastleigh,"447,202","116,802","65,048","68,536"
E07000087,Fareham,"453,774","106,319","56,758","59,475"
E07000088,Gosport,"458,769","101,088","42,212","42,626"
E07000089,Hart,"477,985","154,240","48,037","49,036"
E07000090,Havant,"470,178","108,564","61,172","65,048"
E07000091,New Forest,"428,748","106,521","86,664","93,422"
E07000092,Rushmoor,"486,022","153,944","47,723","46,876"
E07000093,Test Valley,"434,930","137,329","61,538","64,622"
E07000094,Winchester,"453,115","125,901","60,922","63,937"
E07000095,Broxbourne,"534,742","204,251","47,034","50,245"
E07000096,Dacorum,"500,084","208,745","76,075","78,688"
E07000098,Hertsmere,"519,774","199,352","50,289","54,630"
E07000099,North Hertfordshire,"522,192","230,256","65,382","68,188"
E07000102,Three Rivers,"507,313","196,418","45,527","47,796"
E07000103,Watford,"510,441","198,197","47,925","48,652"
