area_wc	30/12/2019	02/03/2020	03/02/2020	03/08/2020	04/05/2020	06/01/2020	06/04/2020	06/07/2020	07/09/2020	08/06/2020	09/03/2020	10/02/2020	10/08/2020	11/05/2020	13/01/2020	13/04/2020	13/07/2020	14/09/2020	15/06/2020	16/03/2020	17/02/2020	17/08/2020	18/05/2020	20/01/2020	20/04/2020	20/07/2020	21/09/2020	22/06/2020	23/03/2020	24/02/2020	24/08/2020	25/05/2020	27/01/2020	27/04/2020	27/07/2020	29/06/2020	30/03/2020	30/12/2019	31/08/2020
E06000001	0	0	0	0	28	0	21	0	0	5	0	0	2	17	0	27	1	0	5	1	0	0	13	0	36	1	0	1	3	0	0	10	0	34	0	0	7	0	0
E06000002	0	0	0	0	36	0	62	0	0	5	0	0	0	30	0	73	0	0	5	0	0	0	18	0	59	1	0	2	4	0	0	12	0	46	1	2	46	0	0
E06000003	0	0	0	0	19	0	28	1	0	8	0	0	0	18	0	35	1	2	9	0	0	0	31	0	32	0	0	4	0	0	0	20	0	27	0	0	18	0	0
E06000004	0	0	0	2	43	0	20	2	1	11	0	0	4	25	0	36	2	1	5	2	0	0	25	0	27	2	1	11	3	0	0	33	0	15	3	9	16	0	0
E06000005	0	0	0	0	16	0	13	0	0	4	0	0	2	22	0	32	0	0	3	0	0	1	17	0	21	0	0	5	1	0	3	3	0	26	0	2	8	0	0
E06000006	0	0	0	2	9	0	32	2	0	14	0	0	0	12	0	57	0	0	9	1	0	0	15	0	38	0	2	1	3	0	0	11	0	16	0	0	13	0	0
E06000007	0	0	0	2	34	0	60	0	0	8	0	0	0	41	0	78	0	1	9	1	0	0	32	0	79	0	4	2	0	0	2	14	0	75	0	4	13	0	1
E06000008	0	0	0	2	22	0	21	2	0	4	0	0	0	13	0	28	4	0	2	0	0	11	8	0	31	0	6	2	0	0	5	11	0	26	2	0	12	0	0
E06000009	0	0	0	2	26	0	22	4	2	12	0	0	2	21	0	41	2	0	6	0	0	0	22	0	35	4	0	8	0	0	0	13	0	41	2	3	10	0	0
E06000010	0	0	0	0	55	0	23	4	0	26	0	0	2	42	0	30	3	0	19	0	0	0	40	0	43	4	1	4	1	0	0	32	0	45	0	10	12	0	0
